"","hID","Population","Categorie","long_h","lat_h","pID","long_pop","lat_pop"
"3236",475,221.860978603363,"DISP",-73.0761114058,19.8801310166,3236,-73.0490899184868,19.8805008779469
"3237",475,186.251101016998,"DISP",-73.0761114058,19.8801310166,3237,-73.0870614198792,19.898978732116
"3238",475,58.4097928404808,"DISP",-73.0761114058,19.8801310166,3238,-73.0677455252894,19.9168355976465
"3239",475,128.423138201237,"DISP",-73.0761114058,19.8801310166,3239,-73.1059431329883,19.91724669222
"3240",475,187.7531260252,"DISP",-73.0761114058,19.8801310166,3240,-73.106158177738,19.8991830540726
"3241",475,52.7194404602051,"DISP",-73.0761114058,19.8801310166,3241,-73.0486470815002,19.9166269767096
"3242",475,262.396855771542,"DISP",-73.0761114058,19.8801310166,3242,-73.0681840347094,19.8807090893983
"3243",475,282.305509328842,"DISP",-73.0761114058,19.8801310166,3243,-73.0872783915148,19.8809152558071
"3244",476,142.099673390388,"DISP",-73.0139764983,19.8751311547,3244,-72.9918090370457,19.8798639744437
"3245",476,213.806619644165,"DISP",-73.0139764983,19.8751311547,3245,-73.0302192593138,19.8622277204054
"3246",476,243.933836042881,"DISP",-73.0139764983,19.8751311547,3246,-73.0109024172821,19.8800783203577
"3247",476,51.9872260093689,"DISP",-73.0139764983,19.8751311547,3247,-73.0104509259206,19.9162035880878
"3248",476,208.681118488312,"DISP",-73.0139764983,19.8751311547,3248,-73.02999604522,19.8802906215629
"3249",476,235.625786840916,"DISP",-73.0139764983,19.8751311547,3249,-73.0106767955163,19.8981409737655
"3250",476,35.1947185397148,"DISP",-73.0139764983,19.8751311547,3250,-73.0295488809189,19.9164163068195
"3251",476,198.847128033638,"DISP",-73.0139764983,19.8751311547,3251,-73.0297725857974,19.8983534837111
"3252",476,122.393047690392,"DISP",-73.0139764983,19.8751311547,3252,-73.0113529178367,19.8439528964079
"3253",476,142.272805571556,"DISP",-73.0139764983,19.8751311547,3253,-72.9729456005029,19.8615853148891
"3254",476,259.845215559006,"DISP",-73.0139764983,19.8751311547,3254,-73.0111277913462,19.8620156278949
"3255",476,169.873752593994,"DISP",-73.0139764983,19.8751311547,3255,-73.0304422282055,19.8441647802694
"3256",476,139.934074521065,"DISP",-73.0139764983,19.8751311547,3256,-72.9920365709521,19.861801492685
"3257",477,275.812097370625,"DISP",-73.0978451674,19.8599952092,3257,-73.1065875594853,19.8630556612246
"3258",477,196.965687274933,"DISP",-73.0978451674,19.8599952092,3258,-73.0686215817983,19.8445824254737
"3259",477,287.1024761796,"DISP",-73.0978451674,19.8599952092,3259,-73.1063729865297,19.881119377064
"3260",477,190.757176041603,"DISP",-73.0978451674,19.8599952092,3260,-73.1068018967269,19.8449919065847
"3261",477,278.057149291039,"DISP",-73.0978451674,19.8599952092,3261,-73.0874951249411,19.8628517406234
"3262",477,171.753557920456,"DISP",-73.0978451674,19.8599952092,3262,-73.087711620281,19.8447881865954
"3263",478,51.0688502788544,"DISP",-73.1381590296,19.8644768714,3263,-73.1636581770952,19.881719468848
"3264",478,151.528187394142,"DISP",-73.1381590296,19.8644768714,3264,-73.1445628816935,19.8815214836909
"3265",478,262.103363931179,"DISP",-73.1381590296,19.8644768714,3265,-73.1254678173805,19.8813214530609
"3266",478,182.496038496494,"DISP",-73.1381590296,19.8644768714,3266,-73.1256802297435,19.8632575385758
"3267",478,153.206550836563,"DISP",-73.1381590296,19.8644768714,3267,-73.125255171555,19.8993853287587
"3268",478,223.050713717937,"DISP",-73.1381590296,19.8644768714,3268,-73.1447731333433,19.8634573725702
"3269",478,90.8725129961967,"DISP",-73.1381590296,19.8644768714,3269,-73.1443523989553,19.8995855560673
"3270",478,203.524388611317,"DISP",-73.1381590296,19.8644768714,3270,-73.1250422921463,19.9174491656389
"3271",479,343.889184951782,"DISP",-73.1334572925,19.830553441,3271,-73.1644891692574,19.8094620139569
"3272",479,74.0999004046122,"DISP",-73.1334572925,19.830553441,3272,-73.144983154024,19.8453932227356
"3273",48,5543.57015991211,"DISP",-71.7799261797,19.6162373043,3273,-71.7554054792626,19.6630601806818
"3274",48,4278.2347869873,"DISP",-71.7799261797,19.6162373043,3274,-71.7755360899867,19.6092673835516
"3275",480,116.406938135624,"DISP",-73.1082535027,19.8034146407,3275,-73.1072298645554,19.808864281025
"3276",480,91.1228504975637,"DISP",-73.1082535027,19.8034146407,3276,-73.1074434953853,19.7908004101659
"3277",480,295.137512207031,"DISP",-73.1082535027,19.8034146407,3277,-73.1263160672654,19.8090655626997
"3278",480,23.716495513916,"DISP",-73.1082535027,19.8034146407,3278,-73.1265275469851,19.7910014933684
"3279",481,34.0459001859029,"DISP",-73.0944069337,19.7647777163,3279,-73.088790529988,19.7544698348546
"3280",481,2.92885780334473,"DISP",-73.0944069337,19.7647777163,3280,-73.0506322014136,19.7540583065148
"3281",481,27.8429471850395,"DISP",-73.0944069337,19.7647777163,3281,-73.0694937929589,19.7723286315694
"3282",481,77.1663073897362,"DISP",-73.0944069337,19.7647777163,3282,-73.0885752232369,19.7725335826481
"3283",481,6.0081000328064,"DISP",-73.0944069337,19.7647777163,3283,-73.1076568909875,19.7727365006279
"3284",481,41.4802265961965,"DISP",-73.0944069337,19.7647777163,3284,-73.0697112458432,19.7542650861764
"3285",482,592.9123878479,"DISP",-73.1493117575,19.7546767797,3285,-73.1646963463975,19.7913975537066
"3286",482,339.936435699463,"DISP",-73.1493117575,19.7546767797,3286,-73.1456118314451,19.7912005412504
"3287",482,325.707775115967,"DISP",-73.1493117575,19.7546767797,3287,-73.1651100164214,19.7552685175845
"3288",482,618.803050041199,"DISP",-73.1493117575,19.7546767797,3288,-73.164903295413,19.7733330549057
"3289",483,117.886526584625,"DISP",-73.0780391616,19.8009061067,3289,-73.0690581675507,19.8084556061161
"3290",483,144.978461265564,"DISP",-73.0780391616,19.8009061067,3290,-73.0688399947795,19.8265190352087
"3291",483,133.068214118481,"DISP",-73.0780391616,19.8009061067,3291,-73.0881438971942,19.808660962128
"3292",483,201.35897397995,"DISP",-73.0780391616,19.8009061067,3292,-73.0311096649353,19.7899757262949
"3293",483,69.5603728294373,"DISP",-73.0780391616,19.8009061067,3293,-73.0499726779932,19.808248213098
"3294",483,120.083169937134,"DISP",-73.0780391616,19.8009061067,3294,-73.0497523521111,19.8263114376493
"3295",483,90.0623774528503,"DISP",-73.0780391616,19.8009061067,3295,-73.0692761002359,19.7903921382261
"3296",483,112.237408816814,"DISP",-73.0780391616,19.8009061067,3296,-73.0883596790131,19.7905972917494
"3297",483,9.76285934448242,"DISP",-73.0780391616,19.8009061067,3297,-73.0504126025195,19.7721216475001
"3298",483,191.072194814682,"DISP",-73.0780391616,19.8009061067,3298,-73.0879278776578,19.8267245937535
"3299",483,58.5771560668945,"DISP",-73.0780391616,19.8009061067,3299,-73.050192761421,19.7901849497047
"3300",483,246.756269931793,"DISP",-73.0780391616,19.8009061067,3300,-73.0308874308898,19.8080387831835
"3301",484,1865.47843885422,"DISP",-73.1957713561,19.9057196518,3301,-73.1630325318831,19.9359121537554
"3302",484,2383.24267578125,"DISP",-73.1957713561,19.9057196518,3302,-73.2207435968858,19.9003659894218
"3303",484,2814.97116088867,"DISP",-73.1957713561,19.9057196518,3303,-73.2016454589044,19.9001739526728
"3304",484,24.0324001312256,"DISP",-73.1957713561,19.9057196518,3304,-73.1634498575637,19.8997837358923
"3305",484,3326.25139363607,"DISP",-73.1957713561,19.9057196518,3305,-73.1823411623414,19.9180442891405
"3306",484,263.536501566569,"DISP",-73.1957713561,19.9057196518,3306,-73.1632413091993,19.9178479642048
"3307",484,196.486598432064,"DISP",-73.1957713561,19.9057196518,3307,-73.1441416850087,19.9176495896692
"3308",484,306.010986328125,"DISP",-73.1957713561,19.9057196518,3308,-73.2014412420587,19.9182385643725
"3309",484,3513.228515625,"DISP",-73.1957713561,19.9057196518,3309,-73.2018494516679,19.8821093023254
"3310",485,224.027342796326,"DISP",-73.2053520591,19.8377229102,3310,-73.22134841984,19.8461713567756
"3311",485,300.40894317627,"DISP",-73.2053520591,19.8377229102,3311,-73.1833708122551,19.8277217974876
"3312",485,426.896919250488,"DISP",-73.2053520591,19.8377229102,3312,-73.1835760638013,19.8096571833296
"3313",485,499.191361665726,"DISP",-73.2053520591,19.8377229102,3313,-73.2215495846135,19.8281064021543
"3314",485,2736.71123170853,"DISP",-73.2053520591,19.8377229102,3314,-73.2022567654124,19.8459798858078
"3315",485,29.2209577560425,"DISP",-73.2053520591,19.8377229102,3315,-73.2024600866248,19.8279151196977
"3316",486,2150.40773010254,"HOP",-73.1860728393,19.8575005907,3316,-73.182959631077,19.8638509100667
"3317",486,254.750259399414,"HOP",-73.1860728393,19.8575005907,3317,-73.1827537012113,19.8819154084274
"3318",486,117.157950639725,"HOP",-73.1860728393,19.8575005907,3318,-73.163866267912,19.8636551631021
"3319",486,3816.9189453125,"HOP",-73.1860728393,19.8575005907,3319,-73.1831653347193,19.8457863730767
"3320",487,151.85261964798,"C/S",-72.31003351,18.4159035982,3320,-72.3277231634053,18.4444318442652
"3321",487,221.840023756027,"C/S",-72.31003351,18.4159035982,3321,-72.3474738485237,18.3905265058137
"3322",487,70.6555245717366,"C/S",-72.31003351,18.4159035982,3322,-72.3285598802428,18.3902616375274
"3323",487,89.593045592308,"C/S",-72.31003351,18.4159035982,3323,-72.3282812967506,18.4083184114604
